Gene	C12
C12_Sobic.001G161200	0
C12_Sobic.001G161500	0
C12_Sobic.001G163500	0
C12_Sobic.001G163900	0
C12_Sobic.001G164500	0
C12_Sobic.001G164800	0
C12_Sobic.001G165100	0
C12_Sobic.001G166300	0
C12_Sobic.001G166401	0
C12_Sobic.001G166700	0
C12_Sobic.001G167000	0
C12_Sobic.001G167100	1
C12_Sobic.001G167701	0
C12_Sobic.001G167800	0
C12_Sobic.001G169200	0
C12_Sobic.001G170700	0
C12_Sobic.001G170800	1
C12_Sobic.001G170900	3
C12_Sobic.001G171100	0
C12_Sobic.001G171200	0
C12_Sobic.001G171500	0
C12_Sobic.001G171600	0
C12_Sobic.001G171850	0
C12_Sobic.001G171900	0
C12_Sobic.001G172400	1
C12_Sobic.001G173600	0
C12_Sobic.001G174100	0
C12_Sobic.001G174700	0
C12_Sobic.001G175500	0
C12_Sobic.001G175600	0
C12_Sobic.001G175700	1
C12_Sobic.001G175800	0
C12_Sobic.001G176800	0
C12_Sobic.001G176900	0
C12_Sobic.001G177900	0
C12_Sobic.001G178250	0
C12_Sobic.001G178700	0
C12_Sobic.001G179100	1
C12_Sobic.001G179560	0
C12_Sobic.001G180500	0
C12_Sobic.001G180800	0
C12_Sobic.001G180900	0
C12_Sobic.001G181100	0
C12_Sobic.001G181200	0
C12_Sobic.001G181300	1
C12_Sobic.001G182800	1
C12_Sobic.001G182850	0
C12_Sobic.001G183000	1
C12_Sobic.001G183500	0
C12_Sobic.001G183600	0
C12_Sobic.001G184800	1
C12_Sobic.001G185800	1
C12_Sobic.001G186200	1
C12_Sobic.001G186401	0
C12_Sobic.001G186600	0
C12_Sobic.001G187700	0
C12_Sobic.001G192200	0
C12_Sobic.001G192600	0
C12_Sobic.001G193600	1
C12_Sobic.001G193900	3
C12_Sobic.001G195866	0
C12_Sobic.001G196600	2
C12_Sobic.001G197600	1
C12_Sobic.001G197800	0
C12_Sobic.001G197901	0
C12_Sobic.001G198000	0
C12_Sobic.001G199200	0
C12_Sobic.001G200500	0
C12_Sobic.001G201100	0
C12_Sobic.001G202000	0
C12_Sobic.001G203000	1
C12_Sobic.001G203700	0
C12_Sobic.001G203800	0
C12_Sobic.001G204200	0
C12_Sobic.001G204601	0
C12_Sobic.001G205000	1
C12_Sobic.001G205500	0
C12_Sobic.001G206300	0
C12_Sobic.001G207600	0
C12_Sobic.001G207800	0
C12_Sobic.001G208133	0
C12_Sobic.001G208200	0
C12_Sobic.001G208300	1
C12_Sobic.001G208600	0
C12_Sobic.001G211800	0
C12_Sobic.001G212100	0
C12_Sobic.001G212200	0
C12_Sobic.001G212900	1
C12_Sobic.001G215300	0
C12_Sobic.001G215400	0
C12_Sobic.001G217500	0
C12_Sobic.001G219200	0
C12_Sobic.001G221300	0
C12_Sobic.001G221900	0
C12_Sobic.001G222700	0
C12_Sobic.001G223200	0
C12_Sobic.001G225300	0
C12_Sobic.001G225900	1
C12_Sobic.001G226200	0
C12_Sobic.001G226300	0
C12_Sobic.001G228701	0
C12_Sobic.001G229850	0
C12_Sobic.001G230700	0
C12_Sobic.001G230801	0
C12_Sobic.001G233300	0
C12_Sobic.001G233400	0
C12_Sobic.001G234300	0
C12_Sobic.001G239000	0
C12_Sobic.001G239100	1
C12_Sobic.001G240400	0
C12_Sobic.001G242400	0
C12_Sobic.001G242900	0
C12_Sobic.001G243300	0
C12_Sobic.001G245400	0
C12_Sobic.001G247700	1
C12_Sobic.001G248600	0
C12_Sobic.001G248700	0
C12_Sobic.001G249900	0
C12_Sobic.001G250000	0
C12_Sobic.001G250200	0
C12_Sobic.001G251900	0
C12_Sobic.001G252300	0
C12_Sobic.001G253800	1
C12_Sobic.001G253900	1
C12_Sobic.001G254300	1
C12_Sobic.001G254800	0
C12_Sobic.001G255600	0
C12_Sobic.001G255932	0
C12_Sobic.001G256300	0
C12_Sobic.001G257100	0
C12_Sobic.001G257700	0
C12_Sobic.001G258000	0
C12_Sobic.001G260600	0
C12_Sobic.001G260701	0
C12_Sobic.001G261408	0
C12_Sobic.001G261476	0
C12_Sobic.001G261750	0
C12_Sobic.001G262500	1
C12_Sobic.001G264100	1
C12_Sobic.001G264300	1
C12_Sobic.001G265300	0
C12_Sobic.001G265400	1
C12_Sobic.001G265500	0
C12_Sobic.001G265800	0
C12_Sobic.001G266400	1
C12_Sobic.001G267100	0
C12_Sobic.001G267500	0
C12_Sobic.001G268700	0
C12_Sobic.001G269000	0
C12_Sobic.001G270500	0
